################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.4557381842709070E-01 a         1     0     1     1     1
  2.8269757858966638E+00 a         2     0     1     1     2
  1.7362221147441156E-01 a         3     0     1     1     3
  9.6183796838260915E-01 a         4     0     1     1     4
  2.2734994671683877E+00 a         5     0     1     1     5
 -5.9312506600980575E-01 a         6     0     1     1     6
  6.6374756416813241E-01 a         7     0     1     1     7
 -8.7148594373754129E-01 a         8     0     1     1     8
 -1.9267622720255959E-01 a         9     0     1     1     9
 -5.5209162603101647E-01 a        10     0     1     1    10
 -5.9432091988455427E-01 a        11     0     1     1    11
 -1.5334919854070068E+00 a        12     0     1     1    12
  1.4032991335542555E-01 a        13     0     1     1    13
  3.4907631009201495E-01 a        14     0     1     1    14
 -1.5096178319066791E+00 a        15     0     1     1    15
  2.5040350200340233E-01 a        16     0     2     1     1
 -9.1600509069814395E-01 a        17     0     2     1     2
 -8.1582784027443289E-01 a        18     0     2     1     3
  4.8300540024718958E-01 a        19     0     2     1     4
  1.1809371326491691E+00 a        20     0     2     1     5
 -1.6094736402860607E-01 a        21     0     2     1     6
  5.1715525866926804E-01 a        22     0     2     1     7
  9.5425428046653482E-01 a        23     0     2     1     8
 -1.5720362020743617E-01 a        24     0     2     1     9
 -1.6366540352104780E-01 a        25     0     2     1    10
  1.1216863526211474E+00 a        26     0     2     1    11
 -6.9503145665563748E-01 a        27     0     2     1    12
 -2.2915186234835674E-01 a        28     0     2     1    13
  3.4748618790915836E-01 a        29     0     2     1    14
 -1.1704508779306106E+00 a        30     0     2     1    15
 -9.8858844391927014E-01 a        31     0     3     1     1
 -9.5697303980710546E-01 a        32     0     3     1     2
 -3.0520614278971130E+00 a        33     0     3     1     3
 -9.9854708477241994E-01 a        34     0     3     1     4
  2.0916092635944503E+00 a        35     0     3     1     5
  2.2001009074282676E+00 a        36     0     3     1     6
 -8.3857689459654983E-01 a        37     0     3     1     7
  4.4679456161256192E+00 a        38     0     3     1     8
 -6.9102766993138887E-02 a        39     0     3     1     9
  8.1276380508973756E-01 a        40     0     3     1    10
  9.7964418779692730E-01 a        41     0     3     1    11
 -5.1377763394172238E-01 a        42     0     3     1    12
  8.0227191251315610E-01 a        43     0     3     1    13
 -2.9915841540679824E+00 a        44     0     3     1    14
  1.6361340796118072E-03 a        45     0     3     1    15
 -8.9673525946763766E-01 a        46     0     4     1     1
  7.5115093243129682E-01 a        47     0     4     1     2
  7.1578686104176537E-01 a        48     0     4     1     3
 -6.7605418662853867E-01 a        49     0     4     1     4
  9.8409444764752896E-01 a        50     0     4     1     5
 -1.7438642980171132E-01 a        51     0     4     1     6
  1.5658250382220236E+00 a        52     0     4     1     7
  4.0859877120977750E-01 a        53     0     4     1     8
 -4.9585548905542359E-01 a        54     0     4     1     9
 -4.6820659140025611E-01 a        55     0     4     1    10
 -9.4763373512338733E-01 a        56     0     4     1    11
  4.3018326084941411E-01 a        57     0     4     1    12
  7.4405214757642224E-02 a        58     0     4     1    13
  1.5988418883477031E+00 a        59     0     4     1    14
 -5.3512792646393914E-02 a        60     0     4     1    15
  9.0743579500171007E-02 a        61     0     5     1     1
 -4.2553975622738149E-01 a        62     0     5     1     2
 -4.2658855954164970E-01 a        63     0     5     1     3
  6.4287253210002626E-01 a        64     0     5     1     4
  1.8394078895059010E+00 a        65     0     5     1     5
 -9.2437174051434678E-01 a        66     0     5     1     6
  4.2928403733746073E-01 a        67     0     5     1     7
 -3.6076046177085813E-01 a        68     0     5     1     8
  1.1846543010639736E-01 a        69     0     5     1     9
 -1.6215727248792944E-01 a        70     0     5     1    10
  3.6298877796100588E-03 a        71     0     5     1    11
  5.3786314508017441E-01 a        72     0     5     1    12
 -5.6853334485442020E-01 a        73     0     5     1    13
  4.4746056383136487E-02 a        74     0     5     1    14
 -1.5447456163539333E+00 a        75     0     5     1    15
  4.5367174586797815E-01 a        76     0     6     1     1
 -4.9042110235156761E-01 a        77     0     6     1     2
 -1.6892149910818983E+00 a        78     0     6     1     3
  5.1641661161787711E-01 a        79     0     6     1     4
  1.6106970787496331E+00 a        80     0     6     1     5
  2.4582615108008081E+00 a        81     0     6     1     6
 -2.0017407437661738E+00 a        82     0     6     1     7
  2.0379393751223907E+00 a        83     0     6     1     8
  3.5841265977582865E-01 a        84     0     6     1     9
  4.9869428860182163E-01 a        85     0     6     1    10
  8.1394183772480000E-01 a        86     0     6     1    11
  8.4785043831913820E-01 a        87     0     6     1    12
  5.4852319918696013E-01 a        88     0     6     1    13
 -1.4473384175628716E+00 a        89     0     6     1    14
  5.0195489558559669E-01 a        90     0     6     1    15
 -6.5315790713822403E-02 a        91     0     7     1     1
 -2.7357946372512432E+00 a        92     0     7     1     2
 -5.5173933085277660E-01 a        93     0     7     1     3
 -6.2814130415843022E-02 a        94     0     7     1     4
 -1.3808428117929619E+00 a        95     0     7     1     5
  2.8210560072575736E-01 a        96     0     7     1     6
 -1.0212140846836886E+00 a        97     0     7     1     7
  1.8440627837845498E+00 a        98     0     7     1     8
 -2.7293780071947504E-01 a        99     0     7     1     9
  7.9893497024026705E-01 a       100     0     7     1    10
 -2.6732808102826267E-01 a       101     0     7     1    11
  1.8252305792956682E+00 a       102     0     7     1    12
 -4.9314636609859347E-01 a       103     0     7     1    13
  8.5614571340731194E-01 a       104     0     7     1    14
 -2.0854175911805836E-01 a       105     0     7     1    15
  5.2162830165808378E-03 a       106     0     8     1     1
  1.1319715930397316E+00 a       107     0     8     1     2
 -5.8009780203376315E-01 a       108     0     8     1     3
 -1.2963596720295198E+00 a       109     0     8     1     4
 -1.1195338596462310E+00 a       110     0     8     1     5
 -1.2419840901555574E+00 a       111     0     8     1     6
 -4.0954104823338416E-01 a       112     0     8     1     7
 -3.7739652245901978E-01 a       113     0     8     1     8
 -4.4437778542289384E-02 a       114     0     8     1     9
  1.4727651219861002E-01 a       115     0     8     1    10
 -2.1858793859404160E-02 a       116     0     8     1    11
  6.9323103722367607E-01 a       117     0     8     1    12
  1.1719947949920131E-01 a       118     0     8     1    13
 -2.3600469721613107E-01 a       119     0     8     1    14
 -2.3066356203080640E-01 a       120     0     8     1    15
  9.3209352905379506E-01 a       121     0     9     1     1
 -7.2759861038571794E-01 a       122     0     9     1     2
 -8.4337787582379198E-01 a       123     0     9     1     3
 -6.8314687646500982E-01 a       124     0     9     1     4
  2.0321665048727615E+00 a       125     0     9     1     5
  6.2440968658133356E-01 a       126     0     9     1     6
 -1.1106344748097816E+00 a       127     0     9     1     7
 -2.9208838926091740E+00 a       128     0     9     1     8
  6.2393865010138172E-01 a       129     0     9     1     9
  1.7729789359372733E-01 a       130     0     9     1    10
  1.1510208402247094E-01 a       131     0     9     1    11
  2.0577217705810985E-01 a       132     0     9     1    12
 -5.0955996150199590E-01 a       133     0     9     1    13
 -7.5861975865276099E-01 a       134     0     9     1    14
 -6.8208050227872896E-01 a       135     0     9     1    15
 -4.6214343344082465E-01 a       136     0    10     1     1
 -2.2070984309544635E+00 a       137     0    10     1     2
 -1.0277193558968385E+00 a       138     0    10     1     3
 -1.1684525936799317E+00 a       139     0    10     1     4
 -2.7180717666326855E+00 a       140     0    10     1     5
  8.6607875876876439E-01 a       141     0    10     1     6
 -1.4863030975788400E+00 a       142     0    10     1     7
  1.4650148878298169E-02 a       143     0    10     1     8
  7.2457539877254451E-02 a       144     0    10     1     9
  3.6110107376905415E-01 a       145     0    10     1    10
  7.0071579498599690E-01 a       146     0    10     1    11
  8.6707498874222377E-01 a       147     0    10     1    12
  1.1900875771380286E+00 a       148     0    10     1    13
 -5.0088230321848881E-01 a       149     0    10     1    14
 -1.3136216312773044E+00 a       150     0    10     1    15
 -9.1612853610013723E-01 a       151     0    11     1     1
  9.1419611063026718E-01 a       152     0    11     1     2
 -3.4512849575969834E-01 a       153     0    11     1     3
  7.3657574674079840E-01 a       154     0    11     1     4
 -1.9869799589495327E+00 a       155     0    11     1     5
  7.1242019883204999E-01 a       156     0    11     1     6
 -1.0039731311373850E+00 a       157     0    11     1     7
 -6.6948424236502624E-01 a       158     0    11     1     8
  1.0145647212464268E+00 a       159     0    11     1     9
