################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.2021906448825227E-01 a         1     0     1     1     1
 -5.7647504974980723E-01 a         2     0     1     1     2
 -1.3016746853204602E+00 a         3     0     1     1     3
 -1.7713623764405690E+00 a         4     0     1     1     4
  7.5866230783987476E-01 a         5     0     1     1     5
  7.6241333808854572E-01 a         6     0     1     1     6
 -1.1346476883877608E+00 a         7     0     1     1     7
  1.2709743964479556E+00 a         8     0     1     1     8
  1.2508282970743887E+00 a         9     0     1     1     9
  1.0541583550311925E-02 a        10     0     1     1    10
  1.5111183516527611E+00 a        11     0     1     1    11
  4.7928175229008962E-01 a        12     0     1     1    12
 -1.4741446682285038E+00 a        13     0     1     1    13
  5.0122814974989605E-01 a        14     0     1     1    14
  6.3366699477294258E-02 a        15     0     1     1    15
  3.4018920193227331E-01 a        16     0     2     1     1
 -1.5256236071182585E+00 a        17     0     2     1     2
 -9.3688445440131873E-01 a        18     0     2     1     3
 -6.7029182318289271E-01 a        19     0     2     1     4
  1.8685717147268210E+00 a        20     0     2     1     5
  2.1914874529310495E+00 a        21     0     2     1     6
 -1.2193375881999138E+00 a        22     0     2     1     7
 -3.5677489554756764E-01 a        23     0     2     1     8
  6.3275465696422284E-01 a        24     0     2     1     9
  1.1415372885592170E+00 a        25     0     2     1    10
  1.1602080200355791E+00 a        26     0     2     1    11
  9.8675020845131378E-01 a        27     0     2     1    12
 -9.0670307636210312E-02 a        28     0     2     1    13
 -2.5325042511399154E+00 a        29     0     2     1    14
 -2.1871741802037352E+00 a        30     0     2     1    15
  4.9353077731656630E-01 a        31     0     3     1     1
  2.0826695975040490E+00 a        32     0     3     1     2
 -1.2000841377343758E+00 a        33     0     3     1     3
 -5.6966842133612419E+00 a        34     0     3     1     4
 -2.3085533941087033E+00 a        35     0     3     1     5
  1.5623477784294479E+00 a        36     0     3     1     6
 -3.5808041107430251E+00 a        37     0     3     1     7
  4.4176380695437176E+00 a        38     0     3     1     8
 -3.0142085538916010E+00 a        39     0     3     1     9
 -3.2527018831532262E+00 a        40     0     3     1    10
